URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-toothnumber-bodysite,1.0.0,active,,BeVSToothNumberBodySite,Tooth Number Body Site,"Tooth Number Body Site","ConceptMap/BeCMISOToothSnomedCT","SCT"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-treatment-reason,1.0.0,active,,BeVSTreatmentReason,Treatment Reason,"RT20Z17 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccination-administration-route,1.0.0,active,,BeVSVaccineAdministrationRoute,BeVSVaccineAdministrationRoute,"Vaccine Administration Route",,"THO (V3),Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccination-bodysite,1.0.0,active,,BeVSVaccinationBodySite,BeVSVaccinationBodySite,"Vaccination Body Site Value Set",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccination-confirmation-status,1.0.0,active,,BeVSVaccinationConfirmationStatus,BeVSVaccinationConfirmationStatus,"Vaccination status Value Set",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccination-product,1.0.0,active,,BeVSVaccinationProduct,BeVSVaccinationProduct,"Vaccination Product Value Set",,
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccination-reason-code,1.0.0,active,,BeVSVaccinationReasonCode,BeVSVaccinationReasonCode,"Vaccination reason code Value Set - the reasons for an vaccination",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccination-status-reason,1.0.0,active,,BeVSVaccinationStatusReason,BeVSVaccinationStatusReason,"Vaccination status reason Value Set - the reasons for an vaccination status - typically representing the reason why a vaccination is not performed",,"THO (V3),Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccine-code,1.0.0,active,,BeVSVaccineCode,BeVSVaccineCode,"Vaccine Code Value Set - the types of vaccines that are administered in Belgium",,"SCT,Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-vaccine-target-disease,1.0.0,active,,BeVSVaccineTargetDisease,BeVSVaccineTargetDisease,"Vaccine Target Disease Value Set - the types of diseases that targeted by the vaccines",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/eagreementadjudicationreason,1.0.0,active,,BeEAgreementAdjudicationReason,ValueSet adjudication reason,"Codes for use to describe eAgreement adjudication reasons in the MyCareNet eAgreement flows.",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/eagreementmessage,1.0.0,active,,BeMessageEAgreement,ValueSet message,"Codes for use to describe eAgreement messages in the MyCareNet eAgreement flows.",,"Internal,hl7.fhir.r4.core"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/eagreementproductorservice,1.0.0,active,,BeProductOrServiceNihdiEAgreement,ValueSet product or service,"NIHDI codes for use to describe eAgreement products or services in the MyCareNet eAgreement flows.",,"Internal,Other"
